,X,TP,TN,FP,FN,sensitivity,specificity,precision
0,1,44463213.0,56875684.0,3.680957804896346e-51,11138466.0,0.7996739271128845,1.0,1.0
1,2,50540456.0,56875684.0,4.105683705461309e-51,5061223.0,0.9089735581546018,1.0,1.0
2,3,53340647.0,56875684.0,5.804587307721161e-51,2261032.0,0.9593351848241849,1.0,1.0
3,4,54591954.0,56875684.0,1.2600201716760569e-50,1009725.0,0.9818400268092624,1.0,1.0
4,5,55152072.0,56875684.0,3.97826593529182e-50,449607.0,0.9919137873516374,1.0,1.0
5,6,55401359.0,56875684.0,1.4851248989754873e-49,200320.0,0.9963972310980034,1.0,1.0
6,7,55509079.0,56875684.0,5.834318120760708e-49,92600.0,0.9983345826661097,1.0,1.0
7,8,55556867.0,56875684.0,2.3231091007901592e-48,44812.0,0.9991940531148349,1.0,1.0
8,9,55580551.0,56875684.0,9.281818255646513e-48,21128.0,0.9996200114748334,1.0,1.0
9,10,55590653.0,56875684.0,3.7116654875071927e-47,11026.0,0.9998016966358156,1.0,1.0
10,11,55595697.0,56875684.0,1.4845600135277359e-46,5982.0,0.999892413320828,1.0,1.0
11,12,55598286.0,56875684.0,5.938133872635802e-46,3393.0,0.999938976662917,1.0,1.0
12,13,55599643.0,56875684.0,2.3752429309068067e-45,2036.0,0.9999633824007365,1.0,1.0
13,14,55600595.0,56875684.0,9.500961105479713e-45,1084.0,0.9999805041858538,1.0,1.0
14,15,55601145.0,56875684.0,3.8003833803771337e-44,534.0,0.999990395973474,1.0,1.0
15,16,55601438.0,56875684.0,1.5201532459693783e-43,241.0,0.9999956655985155,1.0,1.0
16,17,55601584.0,56875684.0,6.080612877696038e-43,95.0,0.9999982914185019,1.0,1.0
17,18,55601664.0,56875684.0,2.4322451404602678e-42,15.0,0.999999730223974,1.0,1.0
18,19,55601675.0,56875684.0,9.728980551222924e-42,4.0,0.9999999280597264,1.0,1.0
19,20,55601679.0,56875684.0,3.8915922194273546e-41,0.0,1.0,1.0,1.0
20,21,55601679.0,56875684.0,1.5566368876647604e-40,0.0,1.0,1.0,1.0
21,22,55601679.0,56875684.0,6.22654755055286e-40,0.0,1.0,1.0,1.0
22,23,55601679.0,56875684.0,2.490619020210526e-39,0.0,1.0,1.0,1.0
23,24,55601679.0,56875684.0,9.962476080831485e-39,0.0,1.0,1.0,1.0
24,25,55601679.0,56875684.0,3.9849904323315324e-38,0.0,1.0,1.0,1.0
25,26,55601679.0,56875684.0,1.5939961729325069e-37,0.0,1.0,1.0,1.0
26,27,55601679.0,56875684.0,6.375984691729921e-37,0.0,1.0,1.0,1.0
27,28,55601679.0,56875684.0,2.5503938766919576e-36,0.0,1.0,1.0,1.0
28,29,55601679.0,56875684.0,1.0201575506767821e-35,0.0,1.0,1.0,1.0
29,30,55601679.0,56875684.0,4.080630202707127e-35,0.0,1.0,1.0,1.0
30,31,55601679.0,56875684.0,1.6322520810828507e-34,0.0,1.0,1.0,1.0
31,32,55601679.0,56875684.0,6.529008324331403e-34,0.0,1.0,1.0,1.0
32,33,55601679.0,56875684.0,2.611603329732561e-33,0.0,1.0,1.0,1.0
33,34,55601679.0,56875684.0,1.0446413318930244e-32,0.0,1.0,1.0,1.0
34,35,55601679.0,56875684.0,4.178565327572098e-32,0.0,1.0,1.0,1.0
